ticker,thr,peak_date,trough_date,depth_pct,peak_to_trough_days,recovery_days,runup_pct,days_since_last_peak,vol60_ann,pct_above_sma200,ongoing
GOOG,10,2006-01-11,2006-03-13,28.53,41,156,8.36,,,,False
GOOG,10,2006-11-21,2007-03-02,13.93,67,65,51.2,218,26.9,27.5,False
GOOG,10,2007-07-17,2007-08-16,11.44,22,25,26.52,161,16.5,16.3,False
GOOG,10,2007-11-06,2008-11-24,65.29,265,965,50.92,79,20.9,43.8,False
GOOG,10,2012-10-04,2012-11-16,15.74,29,51,198.34,1238,17.5,22.4,False
GOOG,10,2014-02-26,2015-01-12,19.18,221,129,88.54,348,19.9,24.6,False
GOOG,10,2015-07-17,2015-08-25,13.5,27,42,37.0,350,19.7,25.3,False
GOOG,10,2015-12-29,2016-06-27,13.95,124,28,33.42,114,24.3,25.7,False
GOOG,10,2018-01-26,2018-02-08,14.83,9,106,75.96,523,13.5,20.6,False
GOOG,10,2018-07-26,2018-12-24,23.03,104,84,26.64,125,20.4,17.4,False
GOOG,10,2019-04-29,2019-06-03,19.52,24,103,31.89,189,17.3,13.0,False
GOOG,10,2020-02-19,2020-03-23,30.79,23,76,47.33,204,17.1,22.2,False
GOOG,10,2020-09-02,2020-09-23,18.11,14,30,63.57,137,26.5,24.2,False
GOOG,10,2021-11-18,2022-11-03,44.6,241,306,112.98,306,22.6,19.2,False
GOOG,10,2024-01-29,2024-03-06,14.39,26,17,85.46,549,20.4,19.4,False
GOOG,10,2024-07-10,2024-09-09,22.28,42,66,45.5,112,27.4,27.8,False
GOOG,10,2025-02-04,2025-04-08,29.35,44,95,39.06,143,30.8,18.4,False
GOOG,10,2026-02-02,2026-03-30,20.75,39,19,135.95,249,27.2,46.1,False
GOOG,10,2026-05-13,2026-07-23,20.18,48,,46.09,70,33.5,38.1,True
AAPL,10,2006-01-13,2006-07-14,40.8,125,88,14.5,,,,False
AAPL,10,2006-11-28,2006-12-28,11.92,21,6,81.19,220,27.6,34.2,False
AAPL,10,2007-01-16,2007-02-09,14.24,18,52,20.07,31,33.6,35.2,False
AAPL,10,2007-07-26,2007-08-16,19.83,15,26,75.33,133,30.3,49.7,False
AAPL,10,2007-11-06,2007-11-12,19.83,4,18,63.85,72,38.2,58.4,False
AAPL,10,2007-12-28,2009-01-20,60.87,266,191,29.96,36,44.0,44.7,False
AAPL,10,2010-01-19,2010-02-04,10.69,12,20,174.99,517,25.6,28.8,False
AAPL,10,2010-04-23,2010-05-07,12.91,10,28,41.02,66,25.0,38.0,False
AAPL,10,2010-06-18,2010-08-24,12.46,46,16,16.2,39,34.8,27.5,False
AAPL,10,2011-02-16,2011-06-20,13.17,85,18,51.35,168,16.9,25.6,False
AAPL,10,2011-07-26,2011-08-08,12.44,9,29,27.94,110,21.3,20.1,False
AAPL,10,2011-09-20,2011-10-07,10.56,13,5,17.06,39,31.4,18.2,False
AAPL,10,2011-10-18,2011-11-25,13.89,27,28,14.18,20,34.1,18.2,False
AAPL,10,2012-04-09,2012-05-17,16.68,28,63,75.0,118,24.0,49.0,False
AAPL,10,2012-09-19,2013-04-19,43.8,144,310,33.01,114,20.7,27.1,False
AAPL,10,2014-11-26,2015-01-16,10.93,34,12,121.97,550,21.2,30.0,False
AAPL,10,2015-05-22,2016-05-12,30.44,245,182,26.07,121,20.7,16.9,False
AAPL,10,2018-01-18,2018-02-08,13.45,15,11,103.75,669,17.4,14.1,False
AAPL,10,2018-03-12,2018-04-27,10.68,33,5,17.6,36,24.0,12.8,False
AAPL,10,2018-10-03,2019-01-03,38.52,62,194,44.03,143,20.6,24.5,False
AAPL,10,2020-02-12,2020-03-23,31.43,27,52,134.13,341,21.5,39.3,False
AAPL,10,2020-09-01,2020-09-18,20.38,12,69,140.29,140,36.2,65.7,False
AAPL,10,2021-01-26,2021-03-08,18.6,28,84,34.23,100,33.9,35.1,False
AAPL,10,2021-09-07,2021-10-04,11.2,19,33,35.09,155,18.4,18.4,False
AAPL,10,2022-01-03,2023-01-05,30.91,253,102,31.0,82,23.6,26.4,False
AAPL,10,2023-07-31,2023-10-26,14.93,62,33,57.59,394,16.4,23.7,False
AAPL,10,2023-12-14,2024-04-19,16.61,86,36,18.86,96,17.1,12.0,False
AAPL,10,2024-07-16,2024-08-06,11.75,15,52,42.51,145,26.6,26.1,False
AAPL,10,2024-12-26,2025-04-08,33.36,69,134,25.27,114,17.6,22.3,False
AAPL,10,2025-12-02,2026-01-20,13.8,32,74,66.55,233,22.0,26.0,False
AAPL,10,2026-06-02,2026-06-25,12.71,16,9,28.0,124,21.2,19.6,False
AAPL,10,2026-07-28,2026-08-03,10.78,4,,23.6,38,28.6,23.0,True
NVDA,10,2006-05-05,2006-07-14,43.51,48,60,63.68,,35.3,,False
NVDA,10,2006-12-19,2007-03-16,26.74,58,63,119.02,158,45.9,39.0,False
NVDA,10,2007-10-17,2008-11-20,85.08,277,1861,109.21,207,47.0,51.6,False
NVDA,10,2016-12-27,2017-01-17,13.82,13,15,2036.49,2315,69.3,99.8,False
NVDA,10,2017-02-07,2017-04-13,19.74,46,18,17.82,28,73.3,72.9,False
NVDA,10,2017-06-08,2017-07-03,12.89,17,6,67.67,84,49.2,66.9,False
NVDA,10,2017-11-24,2017-12-13,14.19,13,16,55.96,118,28.6,44.9,False
NVDA,10,2018-01-29,2018-02-05,13.43,5,10,32.59,43,33.5,43.3,False
NVDA,10,2018-03-16,2018-04-06,14.46,14,23,17.28,33,39.6,30.2,False
NVDA,10,2018-06-14,2018-06-27,11.69,9,41,24.66,62,38.8,22.5,False
