ticker,thr,peak_date,trough_date,depth_pct,peak_to_trough_days,recovery_days,runup_pct,days_since_last_peak,vol60_ann,pct_above_sma200,ongoing
JPM,20,2015-07-22,2016-02-11,23.21,141,164,403.93,2065,14.7,14.2,False
JPM,20,2018-09-20,2018-12-24,21.79,65,85,137.5,798,17.0,7.1,False
JPM,20,2020-01-02,2020-03-23,43.63,55,201,57.91,322,14.7,21.9,False
JPM,20,2021-10-22,2022-10-11,38.77,243,296,129.44,456,20.5,12.5,False
JPM,20,2025-02-18,2025-04-04,24.42,33,53,191.0,832,16.9,26.6,False
AXP,20,2007-07-19,2009-03-06,83.91,411,793,26.88,,22.1,10.5,False
AXP,20,2014-07-03,2016-02-11,45.38,405,414,923.71,1752,16.1,10.7,False
AXP,20,2018-11-28,2018-12-24,20.72,17,55,131.11,1110,21.0,12.0,False
AXP,20,2020-02-19,2020-03-23,49.64,23,231,55.78,306,17.3,12.4,False
AXP,20,2022-02-16,2022-09-30,31.55,156,331,195.94,504,37.6,18.0,False
AXP,20,2025-01-23,2025-04-08,28.76,52,58,149.59,735,26.6,25.7,False
AXP,20,2025-12-11,2026-03-27,23.9,72,,67.18,223,27.0,24.4,True
AVGO,20,2009-08-28,2009-11-03,21.55,46,41,14.15,,,,False
AVGO,20,2010-06-17,2010-09-10,20.13,59,32,61.15,201,40.3,27.9,False
AVGO,20,2011-07-06,2011-08-08,30.42,23,159,111.2,265,38.0,32.6,False
AVGO,20,2012-03-30,2012-05-18,22.97,34,269,44.87,186,28.9,17.0,False
AVGO,20,2014-09-18,2014-10-13,22.88,17,26,212.74,620,26.5,37.8,False
AVGO,20,2015-05-29,2015-08-25,26.51,61,71,115.88,174,35.3,43.6,False
AVGO,20,2015-12-07,2016-02-11,21.61,45,20,37.59,133,44.9,17.1,False
AVGO,20,2017-11-27,2018-07-13,26.37,157,137,151.66,497,23.1,19.5,False
AVGO,20,2019-04-17,2019-05-31,21.49,30,115,62.63,348,25.5,31.4,False
AVGO,20,2020-02-12,2020-03-18,48.3,24,75,32.8,207,25.4,12.0,False
AVGO,20,2021-12-27,2022-10-14,35.16,202,147,332.49,472,28.9,37.1,False
AVGO,20,2024-06-17,2024-08-07,25.25,35,44,343.49,621,43.9,61.0,False
AVGO,20,2024-12-16,2025-04-04,41.15,74,39,84.06,126,60.7,61.4,False
AVGO,20,2025-12-10,2026-03-30,28.67,74,16,183.44,246,45.0,48.7,False
AVGO,20,2026-06-02,2026-08-26,26.04,59,,64.13,118,41.7,36.4,True
MRNA,20,2018-12-10,2018-12-26,28.09,11,34,1.08,,,,False
MRNA,20,2019-05-02,2019-08-05,56.74,65,141,109.62,98,74.3,,False
MRNA,20,2020-03-02,2020-03-13,28.71,9,3,143.72,209,99.7,70.7,False
MRNA,20,2020-05-18,2020-05-27,34.77,6,34,275.59,54,133.8,236.4,False
MRNA,20,2020-07-17,2020-09-08,42.71,36,49,81.77,42,97.7,177.7,False
MRNA,20,2020-12-08,2020-12-31,38.5,16,19,212.59,100,82.1,163.1,False
MRNA,20,2021-02-08,2021-03-30,36.29,35,23,78.02,41,97.1,115.3,False
MRNA,20,2021-08-09,2025-11-20,95.38,1077,,308.87,126,61.3,185.5,True
MA,20,2007-07-16,2007-08-15,23.96,22,54,270.58,,40.4,52.3,False
MA,20,2007-12-13,2008-01-18,21.71,24,44,73.14,106,55.5,51.8,False
MA,20,2008-06-02,2009-01-20,62.67,160,621,83.38,116,43.5,60.8,False
MA,20,2015-11-06,2016-02-08,20.38,62,157,774.38,1873,26.6,10.3,False
MA,20,2018-10-01,2018-12-24,21.86,58,40,182.42,729,17.4,19.5,False
MA,20,2020-02-19,2020-03-23,41.0,23,107,98.65,347,16.1,22.8,False
MA,20,2020-08-28,2020-10-30,21.07,44,78,80.61,134,29.7,24.0,False
MA,20,2021-04-28,2021-12-01,22.4,151,43,37.41,166,26.6,16.3,False
MA,20,2022-02-02,2022-10-12,28.25,174,180,29.71,194,39.1,10.4,False
MA,20,2025-08-22,2026-06-03,20.91,195,56,114.83,891,21.3,9.6,False
